indicator,year,name,category,group,value
good_self_rated_health,2018,5ct,Wealthy,Wealthy,0.7575757575757576
good_self_rated_health,2018,5ct,Suburban,Suburban,0.6464646464646465
good_self_rated_health,2018,5ct,Rural,Rural,0.59
good_self_rated_health,2018,5ct,Urban Periphery,Urban Periphery,0.57
good_self_rated_health,2018,5ct,Urban Core,Urban Core,0.5
good_self_rated_health,2018,bridgeport,Total,Total,0.44000000000000006
good_self_rated_health,2018,bridgeport,Gender,Male,0.45000000000000007
good_self_rated_health,2018,bridgeport,Gender,Female,0.45
good_self_rated_health,2018,bridgeport,Age,Ages 18-34,0.5
good_self_rated_health,2018,bridgeport,Age,Ages 35-49,0.44999999999999996
good_self_rated_health,2018,bridgeport,Age,Ages 50-64,0.43
good_self_rated_health,2018,bridgeport,Age,Ages 65+,0.3
good_self_rated_health,2018,bridgeport,Race/Ethnicity,White,0.46
good_self_rated_health,2018,bridgeport,Race/Ethnicity,Black,0.47000000000000003
good_self_rated_health,2018,bridgeport,Race/Ethnicity,Latino,0.5
good_self_rated_health,2018,bridgeport,Education,High school or less,0.38
good_self_rated_health,2018,bridgeport,Education,Some college or Associate's,0.42000000000000004
good_self_rated_health,2018,bridgeport,Education,Bachelor's or higher,0.57
good_self_rated_health,2018,bridgeport,Income,<$30K,0.36
good_self_rated_health,2018,bridgeport,Income,$30K-$75K,0.48
good_self_rated_health,2018,bridgeport,Income,$75K+,0.55
good_self_rated_health,2018,bridgeport,With children,No children,0.4
good_self_rated_health,2018,bridgeport,With children,Children in household,0.52
good_self_rated_health,2018,bristol,Total,Total,0.6
good_self_rated_health,2018,bristol,Gender,Male,0.6000000000000001
good_self_rated_health,2018,bristol,Gender,Female,0.6
good_self_rated_health,2018,bristol,Age,Under age 55,0.62
good_self_rated_health,2018,bristol,Age,Age 55 or older,0.5700000000000001
good_self_rated_health,2018,bristol,Education,Bachelor's or higher,0.67
good_self_rated_health,2018,bristol,Education,Some college or less,0.57
good_self_rated_health,2018,bristol,Income,$75K+,0.76
