code,category,group,response,value,year
Q1,Total,Total,Yes,0.82,2015
Q1,Total,Total,No,0.17,2015
Q1,Total,Total,Don't know,0.01,2015
Q1,Total,Total,Refused,0,2015
Q2,Total,Total,Much better,0.08,2015
Q2,Total,Total,Somewhat better,0.21,2015
Q2,Total,Total,About the same,0.49,2015
Q2,Total,Total,Somewhat worse,0.14,2015
Q2,Total,Total,Much worse,0.06,2015
Q2,Total,Total,Don't know,0.02,2015
Q2,Total,Total,Refused,0,2015
Q3A,Total,Total,Excellent,0.1,2015
Q3A,Total,Total,Good,0.33,2015
Q3A,Total,Total,Fair,0.28,2015
Q3A,Total,Total,Poor,0.15,2015
Q3A,Total,Total,Don't know enough about it in order to say,0.13,2015
Q3A,Total,Total,Refused,0,2015
Q3B,Total,Total,Excellent,0.27,2015
Q3B,Total,Total,Good,0.47,2015
Q3B,Total,Total,Fair,0.18,2015
Q3B,Total,Total,Poor,0.06,2015
Q3B,Total,Total,Don't know enough about it in order to say,0.03,2015
Q3B,Total,Total,Refused,0,2015
Q3C,Total,Total,Excellent,0.3,2015
Q3C,Total,Total,Good,0.45,2015
Q3C,Total,Total,Fair,0.15,2015
Q3C,Total,Total,Poor,0.06,2015
Q3C,Total,Total,Don't know enough about it in order to say,0.04,2015
Q3C,Total,Total,Refused,0,2015
Q3D,Total,Total,Excellent,0.06,2015
Q3D,Total,Total,Good,0.3,2015
Q3D,Total,Total,Fair,0.31,2015
Q3D,Total,Total,Poor,0.19,2015
Q3D,Total,Total,Don't know enough about it in order to say,0.14,2015
Q3D,Total,Total,Refused,0,2015
Q3E,Total,Total,Excellent,0.34,2015
Q3E,Total,Total,Good,0.36,2015
Q3E,Total,Total,Fair,0.16,2015
Q3E,Total,Total,Poor,0.08,2015
Q3E,Total,Total,Don't know enough about it in order to say,0.05,2015
Q3E,Total,Total,Refused,0,2015
Q3F,Total,Total,Excellent,0.28,2015
Q3F,Total,Total,Good,0.45,2015
Q3F,Total,Total,Fair,0.17,2015
Q3F,Total,Total,Poor,0.06,2015
Q3F,Total,Total,Don't know enough about it in order to say,0.04,2015
Q3F,Total,Total,Refused,0,2015
Q4,Total,Total,Yes,0.43,2015
Q4,Total,Total,No,0.57,2015
Q4,Total,Total,Don't know,0,2015
Q4,Total,Total,Refused,0,2015
Q5,Total,Total,Great influence,0.04,2015
Q5,Total,Total,Moderate influence,0.23,2015
Q5,Total,Total,A little influence,0.33,2015
Q5,Total,Total,No influence at all,0.36,2015
Q5,Total,Total,Don't know,0.03,2015
Q5,Total,Total,Refused,0,2015
Q6,Total,Total,Yes,0.86,2015
Q6,Total,Total,No,0.14,2015
Q6,Total,Total,Don't know,0,2015
Q6,Total,Total,Refused,0,2015
Q7,Total,Total,Very often,0.12,2015
Q7,Total,Total,Fairly often,0.18,2015
Q7,Total,Total,Sometimes,0.36,2015
Q7,Total,Total,Almost never,0.17,2015
Q7,Total,Total,Never at all,0.17,2015
Q7,Total,Total,Don't know,0,2015
Q7,Total,Total,Refused,0,2015
Q8,Total,Total,Very often,0.85,2015
Q8,Total,Total,Fairly often,0.04,2015
Q8,Total,Total,Sometimes,0.05,2015
Q8,Total,Total,Almost never,0.01,2015
