code,category,group,response,value,year
Q1,Total,Total,Yes,0.94,2018
Q1,Total,Total,No,0.06,2018
Q1,Total,Total,Don't know,0,2018
Q1,Total,Total,Refused,0,2018
Q2,Total,Total,Much better,0.08,2018
Q2,Total,Total,Somewhat better,0.17,2018
Q2,Total,Total,About the same,0.59,2018
Q2,Total,Total,Somewhat worse,0.12,2018
Q2,Total,Total,Much worse,0.04,2018
Q2,Total,Total,Don't know,0.01,2018
Q2,Total,Total,Refused,0,2018
Q4A,Total,Total,Excellent,0.19,2018
Q4A,Total,Total,Good,0.46,2018
Q4A,Total,Total,Fair,0.22,2018
Q4A,Total,Total,Poor,0.03,2018
Q4A,Total,Total,Don't know enough about it in order to say,0.1,2018
Q4A,Total,Total,Refused,0,2018
Q4D,Total,Total,Excellent,0.63,2018
Q4D,Total,Total,Good,0.31,2018
Q4D,Total,Total,Fair,0.06,2018
Q4D,Total,Total,Poor,0,2018
Q4D,Total,Total,Don't know enough about it in order to say,0,2018
Q4D,Total,Total,Refused,0,2018
Q4E,Total,Total,Excellent,0.23,2018
Q4E,Total,Total,Good,0.32,2018
Q4E,Total,Total,Fair,0.21,2018
Q4E,Total,Total,Poor,0.05,2018
Q4E,Total,Total,Don't know enough about it in order to say,0.19,2018
Q4E,Total,Total,Refused,0,2018
Q4F,Total,Total,Excellent,0.6,2018
Q4F,Total,Total,Good,0.28,2018
Q4F,Total,Total,Fair,0.09,2018
Q4F,Total,Total,Poor,0.01,2018
Q4F,Total,Total,Don't know enough about it in order to say,0.02,2018
Q4F,Total,Total,Refused,0,2018
Q4G,Total,Total,Excellent,0.51,2018
Q4G,Total,Total,Good,0.39,2018
Q4G,Total,Total,Fair,0.08,2018
Q4G,Total,Total,Poor,0.01,2018
Q4G,Total,Total,Don't know enough about it in order to say,0.01,2018
Q4G,Total,Total,Refused,0,2018
Q4H,Total,Total,Excellent,0.47,2018
Q4H,Total,Total,Good,0.31,2018
Q4H,Total,Total,Fair,0.16,2018
Q4H,Total,Total,Poor,0.05,2018
Q4H,Total,Total,Don't know enough about it in order to say,0,2018
Q4H,Total,Total,Refused,0,2018
Q6,Total,Total,Great influence,0.1,2018
Q6,Total,Total,Moderate influence,0.35,2018
Q6,Total,Total,A little influence,0.33,2018
Q6,Total,Total,No influence at all,0.19,2018
Q6,Total,Total,Don't know,0.04,2018
Q6,Total,Total,Refused,0,2018
Q9,Total,Total,Very often,0.96,2018
Q9,Total,Total,Fairly often,0.01,2018
Q9,Total,Total,Sometimes,0.01,2018
Q9,Total,Total,Almost never,0,2018
Q9,Total,Total,Never at all,0.01,2018
Q9,Total,Total,Don't know,0,2018
Q9,Total,Total,Refused,0.01,2018
Q57,Total,Total,"Single, never married",0.15,2018
Q57,Total,Total,Married or civil union,0.73,2018
Q57,Total,Total,Living with partner,0.02,2018
Q57,Total,Total,Separated,0,2018
Q57,Total,Total,Divorced,0.06,2018
Q57,Total,Total,Widowed,0.04,2018
Q57,Total,Total,Refused,0,2018
Q60,Total,Total,One,0.16,2018
Q60,Total,Total,Two,0.5,2018
Q60,Total,Total,Three,0.22,2018
Q60,Total,Total,Four or more,0.11,2018
Q60,Total,Total,Refused,0.01,2018
Q11,Total,Total,I own my home,0.83,2018
Q11,Total,Total,I rent my home,0.12,2018
Q11,Total,Total,I live with family or friends who own,0.04,2018
Q11,Total,Total,I live with family or friends who rent,0.01,2018
Q11,Total,Total,Vol: I live in a Retirement Community/Senior Care,0,2018
Q11,Total,Total,Other,0,2018
Q11,Total,Total,Refused,0,2018
MOVEYEAR,Total,Total,Within the last 3 years,0.16,2018
MOVEYEAR,Total,Total,4 to 10 years ago,0.22,2018
MOVEYEAR,Total,Total,11 to 19 years ago,0.3,2018
MOVEYEAR,Total,Total,20 or more years ago,0.31,2018
MOVEYEAR,Total,Total,Refused,0,2018
Q17A,Total,Total,Strongly agree,0.26,2018
Q17A,Total,Total,Somewhat agree,0.32,2018
Q17A,Total,Total,Somewhat disagree,0.2,2018
Q17A,Total,Total,Strongly disagree,0.22,2018
Q17A,Total,Total,Don't know,0,2018
Q17A,Total,Total,Refused,0,2018
Q17A,Total,Total,Summary: Strongly/Somewhat Agree,0.5800000000000001,2018
Q17B,Total,Total,Strongly agree,0.36,2018
Q17B,Total,Total,Somewhat agree,0.28,2018
Q17B,Total,Total,Somewhat disagree,0.19,2018
Q17B,Total,Total,Strongly disagree,0.15,2018
Q17B,Total,Total,Don't know,0.01,2018
Q17B,Total,Total,Refused,0,2018
Q17B,Total,Total,Summary: Strongly/Somewhat Agree,0.64,2018
Q17C,Total,Total,Strongly agree,0.22,2018
Q17C,Total,Total,Somewhat agree,0.3,2018
Q17C,Total,Total,Somewhat disagree,0.28,2018
Q17C,Total,Total,Strongly disagree,0.18,2018
Q17C,Total,Total,Don't know,0.01,2018
Q17C,Total,Total,Refused,0,2018
Q17C,Total,Total,Summary: Strongly/Somewhat Agree,0.52,2018
Q17E,Total,Total,Strongly agree,0.41,2018
Q17E,Total,Total,Somewhat agree,0.35,2018
Q17E,Total,Total,Somewhat disagree,0.16,2018
Q17E,Total,Total,Strongly disagree,0.07,2018
Q17E,Total,Total,Don't know,0,2018
Q17E,Total,Total,Refused,0.01,2018
Q17E,Total,Total,Summary: Strongly/Somewhat Agree,0.76,2018
Q17F,Total,Total,Strongly agree,0.09,2018
Q17F,Total,Total,Somewhat agree,0.04,2018
