code,category,group,response,value,year
Q1,Total,Total,Yes,0.87,2018
Q1,Total,Total,No,0.12,2018
Q1,Total,Total,Don't know,0,2018
Q1,Total,Total,Refused,0.01,2018
Q2,Total,Total,Much better,0.03,2018
Q2,Total,Total,Somewhat better,0.17,2018
Q2,Total,Total,About the same,0.59,2018
Q2,Total,Total,Somewhat worse,0.17,2018
Q2,Total,Total,Much worse,0.02,2018
Q2,Total,Total,Don't know,0.03,2018
Q2,Total,Total,Refused,0,2018
Q4A,Total,Total,Excellent,0.17,2018
Q4A,Total,Total,Good,0.4,2018
Q4A,Total,Total,Fair,0.25,2018
Q4A,Total,Total,Poor,0.07,2018
Q4A,Total,Total,Don't know enough about it in order to say,0.11,2018
Q4A,Total,Total,Refused,0,2018
Q4D,Total,Total,Excellent,0.55,2018
Q4D,Total,Total,Good,0.36,2018
Q4D,Total,Total,Fair,0.04,2018
Q4D,Total,Total,Poor,0.01,2018
Q4D,Total,Total,Don't know enough about it in order to say,0.04,2018
Q4D,Total,Total,Refused,0,2018
Q4E,Total,Total,Excellent,0.17,2018
Q4E,Total,Total,Good,0.36,2018
Q4E,Total,Total,Fair,0.25,2018
Q4E,Total,Total,Poor,0.09,2018
Q4E,Total,Total,Don't know enough about it in order to say,0.13,2018
Q4E,Total,Total,Refused,0,2018
Q4F,Total,Total,Excellent,0.62,2018
Q4F,Total,Total,Good,0.29,2018
Q4F,Total,Total,Fair,0.06,2018
Q4F,Total,Total,Poor,0.01,2018
Q4F,Total,Total,Don't know enough about it in order to say,0.03,2018
Q4F,Total,Total,Refused,0,2018
Q4G,Total,Total,Excellent,0.47,2018
Q4G,Total,Total,Good,0.42,2018
Q4G,Total,Total,Fair,0.06,2018
Q4G,Total,Total,Poor,0.02,2018
Q4G,Total,Total,Don't know enough about it in order to say,0.03,2018
Q4G,Total,Total,Refused,0,2018
Q4H,Total,Total,Excellent,0.47,2018
Q4H,Total,Total,Good,0.35,2018
Q4H,Total,Total,Fair,0.12,2018
Q4H,Total,Total,Poor,0.03,2018
Q4H,Total,Total,Don't know enough about it in order to say,0.02,2018
Q4H,Total,Total,Refused,0,2018
Q6,Total,Total,Great influence,0.07,2018
Q6,Total,Total,Moderate influence,0.32,2018
Q6,Total,Total,A little influence,0.36,2018
Q6,Total,Total,No influence at all,0.19,2018
Q6,Total,Total,Don't know,0.05,2018
Q6,Total,Total,Refused,0,2018
Q9,Total,Total,Very often,0.89,2018
Q9,Total,Total,Fairly often,0.06,2018
Q9,Total,Total,Sometimes,0.02,2018
Q9,Total,Total,Almost never,0,2018
Q9,Total,Total,Never at all,0.03,2018
Q9,Total,Total,Don't know,0,2018
Q9,Total,Total,Refused,0,2018
Q57,Total,Total,"Single, never married",0.25,2018
Q57,Total,Total,Married or civil union,0.56,2018
Q57,Total,Total,Living with partner,0.02,2018
Q57,Total,Total,Separated,0.02,2018
Q57,Total,Total,Divorced,0.06,2018
Q57,Total,Total,Widowed,0.06,2018
Q57,Total,Total,Refused,0.03,2018
Q60,Total,Total,One,0.22,2018
Q60,Total,Total,Two,0.52,2018
Q60,Total,Total,Three,0.15,2018
Q60,Total,Total,Four or more,0.11,2018
Q60,Total,Total,Refused,0.01,2018
Q11,Total,Total,I own my home,0.7,2018
Q11,Total,Total,I rent my home,0.15,2018
Q11,Total,Total,I live with family or friends who own,0.1,2018
Q11,Total,Total,I live with family or friends who rent,0.01,2018
Q11,Total,Total,Other,0.02,2018
Q11,Total,Total,Refused,0.02,2018
MOVEYEAR,Total,Total,Within the last 3 years,0.15,2018
MOVEYEAR,Total,Total,4 to 10 years ago,0.26,2018
MOVEYEAR,Total,Total,11 to 19 years ago,0.17,2018
MOVEYEAR,Total,Total,20 or more years ago,0.37,2018
MOVEYEAR,Total,Total,Refused,0.04,2018
Q17A,Total,Total,Strongly agree,0.35,2018
Q17A,Total,Total,Somewhat agree,0.3,2018
Q17A,Total,Total,Somewhat disagree,0.12,2018
Q17A,Total,Total,Strongly disagree,0.22,2018
Q17A,Total,Total,Don't know,0.01,2018
Q17A,Total,Total,Refused,0,2018
Q17A,Total,Total,Summary: Strongly agree/Somewhat agree,0.6499999999999999,2018
Q17B,Total,Total,Strongly agree,0.41,2018
Q17B,Total,Total,Somewhat agree,0.29,2018
Q17B,Total,Total,Somewhat disagree,0.11,2018
Q17B,Total,Total,Strongly disagree,0.19,2018
Q17B,Total,Total,Don't know,0,2018
Q17B,Total,Total,Refused,0,2018
Q17B,Total,Total,Summary: Strongly agree/Somewhat agree,0.7,2018
Q17C,Total,Total,Strongly agree,0.33,2018
Q17C,Total,Total,Somewhat agree,0.35,2018
Q17C,Total,Total,Somewhat disagree,0.19,2018
Q17C,Total,Total,Strongly disagree,0.12,2018
Q17C,Total,Total,Don't know,0.02,2018
Q17C,Total,Total,Refused,0,2018
Q17C,Total,Total,Summary: Strongly agree/Somewhat agree,0.6799999999999999,2018
Q17E,Total,Total,Strongly agree,0.45,2018
Q17E,Total,Total,Somewhat agree,0.33,2018
Q17E,Total,Total,Somewhat disagree,0.14,2018
Q17E,Total,Total,Strongly disagree,0.06,2018
Q17E,Total,Total,Don't know,0.02,2018
Q17E,Total,Total,Refused,0,2018
Q17E,Total,Total,Summary: Strongly agree/Somewhat agree,0.78,2018
Q17F,Total,Total,Strongly agree,0.05,2018
Q17F,Total,Total,Somewhat agree,0.1,2018
Q17F,Total,Total,Somewhat disagree,0.19,2018
Q17F,Total,Total,Strongly disagree,0.65,2018
Q17F,Total,Total,Don't know,0.01,2018
Q17F,Total,Total,Refused,0,2018
Q17F,Total,Total,Summary: Strongly agree/Somewhat agree,0.15000000000000002,2018
Q17G,Total,Total,Strongly agree,0.66,2018
Q17G,Total,Total,Somewhat agree,0.28,2018
Q17G,Total,Total,Somewhat disagree,0.03,2018
Q17G,Total,Total,Strongly disagree,0.01,2018
Q17G,Total,Total,Don't know,0.02,2018
Q17G,Total,Total,Refused,0,2018
Q17G,Total,Total,Summary: Strongly agree/Somewhat agree,0.9400000000000001,2018
Q17H,Total,Total,Strongly agree,0.51,2018
Q17H,Total,Total,Somewhat agree,0.38,2018
Q17H,Total,Total,Somewhat disagree,0.03,2018
Q17H,Total,Total,Strongly disagree,0.03,2018
Q17H,Total,Total,Don't know,0.05,2018
Q17H,Total,Total,Refused,0,2018
Q17H,Total,Total,Summary: Strongly agree/Somewhat agree,0.89,2018
Q17I,Total,Total,Strongly agree,0.47,2018
Q17I,Total,Total,Somewhat agree,0.37,2018
