code,category,group,response,value,year
Q1,Total,Total,Yes,0.86,2018
Q1,Total,Total,No,0.14,2018
Q1,Total,Total,Don't know,0,2018
Q1,Total,Total,Refused,0,2018
Q2,Total,Total,Much better,0.01,2018
Q2,Total,Total,Somewhat better,0.22,2018
Q2,Total,Total,About the same,0.6,2018
Q2,Total,Total,Somewhat worse,0.12,2018
Q2,Total,Total,Much worse,0.04,2018
Q2,Total,Total,Don't know,0.01,2018
Q2,Total,Total,Refused,0,2018
Q4A,Total,Total,Excellent,0.05,2018
Q4A,Total,Total,Good,0.55,2018
Q4A,Total,Total,Fair,0.34,2018
Q4A,Total,Total,Poor,0.06,2018
Q4A,Total,Total,Don't know enough about it in order to say,0.01,2018
Q4A,Total,Total,Refused,0,2018
Q4D,Total,Total,Excellent,0.59,2018
Q4D,Total,Total,Good,0.34,2018
Q4D,Total,Total,Fair,0.05,2018
Q4D,Total,Total,Poor,0.02,2018
Q4D,Total,Total,Don't know enough about it in order to say,0.01,2018
Q4D,Total,Total,Refused,0,2018
Q4E,Total,Total,Excellent,0.07,2018
Q4E,Total,Total,Good,0.44,2018
Q4E,Total,Total,Fair,0.16,2018
Q4E,Total,Total,Poor,0.18,2018
Q4E,Total,Total,Don't know enough about it in order to say,0.15,2018
Q4E,Total,Total,Refused,0,2018
Q4F,Total,Total,Excellent,0.72,2018
Q4F,Total,Total,Good,0.27,2018
Q4F,Total,Total,Fair,0.01,2018
Q4F,Total,Total,Poor,0,2018
Q4F,Total,Total,Don't know enough about it in order to say,0.01,2018
Q4F,Total,Total,Refused,0,2018
Q4G,Total,Total,Excellent,0.56,2018
Q4G,Total,Total,Good,0.41,2018
Q4G,Total,Total,Fair,0.03,2018
Q4G,Total,Total,Poor,0.01,2018
Q4G,Total,Total,Don't know enough about it in order to say,0,2018
Q4G,Total,Total,Refused,0,2018
Q4H,Total,Total,Excellent,0.29,2018
Q4H,Total,Total,Good,0.5,2018
Q4H,Total,Total,Fair,0.2,2018
Q4H,Total,Total,Poor,0,2018
Q4H,Total,Total,Don't know enough about it in order to say,0.01,2018
Q4H,Total,Total,Refused,0,2018
Q6,Total,Total,Great influence,0.04,2018
Q6,Total,Total,Moderate influence,0.32,2018
Q6,Total,Total,A little influence,0.35,2018
Q6,Total,Total,No influence at all,0.27,2018
Q6,Total,Total,Don't know,0.01,2018
Q6,Total,Total,Refused,0,2018
Q9,Total,Total,Very often,0.92,2018
Q9,Total,Total,Fairly often,0.02,2018
Q9,Total,Total,Sometimes,0.02,2018
Q9,Total,Total,Almost never,0,2018
Q9,Total,Total,Never at all,0.05,2018
Q9,Total,Total,Don't know,0,2018
Q9,Total,Total,Refused,0,2018
Q57,Total,Total,"Single, never married",0.2,2018
Q57,Total,Total,Married or civil union,0.66,2018
Q57,Total,Total,Living with partner,0.02,2018
Q57,Total,Total,Separated,0.01,2018
Q57,Total,Total,Divorced,0.03,2018
Q57,Total,Total,Widowed,0.09,2018
Q57,Total,Total,Refused,0,2018
Q60,Total,Total,One,0.1,2018
Q60,Total,Total,Two,0.53,2018
Q60,Total,Total,Three,0.2,2018
Q60,Total,Total,Four or more,0.18,2018
Q60,Total,Total,Refused,0,2018
Q11,Total,Total,I own my home,0.86,2018
Q11,Total,Total,I rent my home,0.05,2018
Q11,Total,Total,I live with family or friends who own,0.09,2018
Q11,Total,Total,I live with family or friends who rent,0,2018
Q11,Total,Total,Vol: I live in a Retirement Community/Senior Care,0,2018
Q11,Total,Total,Other,0,2018
Q11,Total,Total,Refused,0,2018
MOVEYEAR,Total,Total,Within the last 3 years,0.12,2018
MOVEYEAR,Total,Total,4 to 10 years ago,0.09,2018
MOVEYEAR,Total,Total,11 to 19 years ago,0.29,2018
MOVEYEAR,Total,Total,20 or more years ago,0.49,2018
MOVEYEAR,Total,Total,Refused,0,2018
Q17A,Total,Total,Strongly agree,0.09,2018
Q17A,Total,Total,Somewhat agree,0.22,2018
Q17A,Total,Total,Somewhat disagree,0.23,2018
Q17A,Total,Total,Strongly disagree,0.46,2018
Q17A,Total,Total,Don't know,0,2018
Q17A,Total,Total,Refused,0,2018
Q17A,Total,Total,Summary: Strongly agree/Somewhat agree,0.31,2018
Q17B,Total,Total,Strongly agree,0.07,2018
Q17B,Total,Total,Somewhat agree,0.1,2018
Q17B,Total,Total,Somewhat disagree,0.17,2018
Q17B,Total,Total,Strongly disagree,0.67,2018
Q17B,Total,Total,Don't know,0,2018
Q17B,Total,Total,Refused,0,2018
Q17B,Total,Total,Summary: Strongly agree/Somewhat agree,0.17,2018
Q17C,Total,Total,Strongly agree,0.33,2018
Q17C,Total,Total,Somewhat agree,0.22,2018
Q17C,Total,Total,Somewhat disagree,0.14,2018
Q17C,Total,Total,Strongly disagree,0.31,2018
Q17C,Total,Total,Don't know,0,2018
Q17C,Total,Total,Refused,0,2018
Q17C,Total,Total,Summary: Strongly agree/Somewhat agree,0.55,2018
Q17E,Total,Total,Strongly agree,0.38,2018
Q17E,Total,Total,Somewhat agree,0.37,2018
Q17E,Total,Total,Somewhat disagree,0.11,2018
Q17E,Total,Total,Strongly disagree,0.13,2018
Q17E,Total,Total,Don't know,0,2018
Q17E,Total,Total,Refused,0,2018
Q17E,Total,Total,Summary: Strongly agree/Somewhat agree,0.75,2018
Q17F,Total,Total,Strongly agree,0.14,2018
Q17F,Total,Total,Somewhat agree,0.05,2018
Q17F,Total,Total,Somewhat disagree,0.12,2018
Q17F,Total,Total,Strongly disagree,0.68,2018
