code,category,group,response,value,year
Q1,Total,Total,Yes,0.78,2018
Q1,Total,Total,No,0.21,2018
Q1,Total,Total,Don't know,0.01,2018
Q1,Total,Total,Refused,0,2018
Q2,Total,Total,Much better,0.05,2018
Q2,Total,Total,Somewhat better,0.16,2018
Q2,Total,Total,About the same,0.49,2018
Q2,Total,Total,Somewhat worse,0.23,2018
Q2,Total,Total,Much worse,0.05,2018
Q2,Total,Total,Don't know,0.02,2018
Q2,Total,Total,Refused,0,2018
Q4A,Total,Total,Excellent,0.07,2018
Q4A,Total,Total,Good,0.3,2018
Q4A,Total,Total,Fair,0.34,2018
Q4A,Total,Total,Poor,0.18,2018
Q4A,Total,Total,Don't know enough about it in order to say,0.11,2018
Q4A,Total,Total,Refused,0,2018
Q4D,Total,Total,Excellent,0.24,2018
Q4D,Total,Total,Good,0.5,2018
Q4D,Total,Total,Fair,0.18,2018
Q4D,Total,Total,Poor,0.04,2018
Q4D,Total,Total,Don't know enough about it in order to say,0.05,2018
Q4D,Total,Total,Refused,0,2018
Q4E,Total,Total,Excellent,0.05,2018
Q4E,Total,Total,Good,0.3,2018
Q4E,Total,Total,Fair,0.36,2018
Q4E,Total,Total,Poor,0.13,2018
Q4E,Total,Total,Don't know enough about it in order to say,0.16,2018
Q4E,Total,Total,Refused,0,2018
Q4F,Total,Total,Excellent,0.18,2018
Q4F,Total,Total,Good,0.44,2018
Q4F,Total,Total,Fair,0.21,2018
Q4F,Total,Total,Poor,0.09,2018
Q4F,Total,Total,Don't know enough about it in order to say,0.07,2018
Q4F,Total,Total,Refused,0,2018
Q4G,Total,Total,Excellent,0.14,2018
Q4G,Total,Total,Good,0.48,2018
Q4G,Total,Total,Fair,0.22,2018
Q4G,Total,Total,Poor,0.11,2018
Q4G,Total,Total,Don't know enough about it in order to say,0.04,2018
Q4G,Total,Total,Refused,0,2018
Q4H,Total,Total,Excellent,0.19,2018
Q4H,Total,Total,Good,0.48,2018
Q4H,Total,Total,Fair,0.22,2018
Q4H,Total,Total,Poor,0.07,2018
Q4H,Total,Total,Don't know enough about it in order to say,0.04,2018
Q4H,Total,Total,Refused,0,2018
Q5,Total,Total,Yes,0.16,2018
Q5,Total,Total,No,0.84,2018
Q5,Total,Total,Don't know,0,2018
Q5,Total,Total,Refused,0,2018
Q6,Total,Total,Great influence,0.03,2018
Q6,Total,Total,Moderate influence,0.23,2018
Q6,Total,Total,A little influence,0.37,2018
Q6,Total,Total,No influence at all,0.34,2018
Q6,Total,Total,Don't know,0.03,2018
Q6,Total,Total,Refused,0,2018
Q8,Total,Total,Very often,0.06,2018
Q8,Total,Total,Fairly often,0.29,2018
Q8,Total,Total,Sometimes,0.28,2018
Q8,Total,Total,Almost never,0.14,2018
Q8,Total,Total,Never at all,0.23,2018
Q8,Total,Total,Don't know,0,2018
Q8,Total,Total,Refused,0,2018
Q9,Total,Total,Very often,0.81,2018
Q9,Total,Total,Fairly often,0.06,2018
Q9,Total,Total,Sometimes,0.05,2018
Q9,Total,Total,Almost never,0.01,2018
Q9,Total,Total,Never at all,0.06,2018
Q9,Total,Total,Don't know,0.01,2018
Q9,Total,Total,Refused,0,2018
Q57,Total,Total,"Single, never married",0.34,2018
Q57,Total,Total,Married or civil union,0.41,2018
Q57,Total,Total,Living with partner,0.07,2018
Q57,Total,Total,Separated,0.01,2018
Q57,Total,Total,Divorced,0.08,2018
Q57,Total,Total,Widowed,0.07,2018
Q57,Total,Total,Refused,0.01,2018
Q60,Total,Total,One,0.26,2018
Q60,Total,Total,Two,0.51,2018
Q60,Total,Total,Three,0.14,2018
Q60,Total,Total,Four or more,0.08,2018
Q60,Total,Total,Refused,0,2018
CHILDCARE,Total,Total,Very easy,0.26,2018
CHILDCARE,Total,Total,Somewhat easy,0.43,2018
CHILDCARE,Total,Total,Somewhat hard,0.12,2018
CHILDCARE,Total,Total,Very hard,0.16,2018
CHILDCARE,Total,Total,Don't know,0.03,2018
CHILDCARE,Total,Total,Refused,0,2018
Q11,Total,Total,I own my home,0.56,2018
Q11,Total,Total,I rent my home,0.29,2018
Q11,Total,Total,I live with family or friends who own,0.08,2018
Q11,Total,Total,I live with family or friends who rent,0.03,2018
Q11,Total,Total,Vol: I live in a Retirement Community/Senior Care,0.01,2018
Q11,Total,Total,Other,0.02,2018
Q11,Total,Total,Refused,0.01,2018
Q12,Total,Total,Yes,0.27,2018
Q12,Total,Total,No,0.73,2018
Q12,Total,Total,Don't know,0,2018
Q12,Total,Total,Refused,0.01,2018
MOVEYEAR,Total,Total,Within the last 3 years,0.2,2018
MOVEYEAR,Total,Total,4 to 10 years ago,0.28,2018
MOVEYEAR,Total,Total,11 to 19 years ago,0.21,2018
MOVEYEAR,Total,Total,20 or more years ago,0.29,2018
MOVEYEAR,Total,Total,Refused,0.02,2018
RECENTMOVE,Total,Total,"Was living in the same building, facility, or housing development that I live in now",0.01,2018
RECENTMOVE,Total,Total,"Was living somewhere in the same neighborhood, town, or city as my current home",0.38,2018
RECENTMOVE,Total,Total,In a different town or city within <state2>,0.46,2018
RECENTMOVE,Total,Total,In another U.S. state (please specify),0.1,2018
RECENTMOVE,Total,Total,"In Puerto Rico, US Virgin Islands, or another U.S. territory",0,2018
RECENTMOVE,Total,Total,Somewhere outside of the United States,0.05,2018
RECENTMOVE,Total,Total,Don't know,0,2018
RECENTMOVE,Total,Total,Refused,0,2018
RENTPREVST,Total,Total,No,0.86,2018
RENTPREVST,Total,Total,Yes and I still own that home,0.03,2018
RENTPREVST,Total,Total,Yes and I sold that home,0.07,2018
RENTPREVST,Total,Total,Other,0.04,2018
RENTPREVST,Total,Total,Don't know,0,2018
RENTPREVST,Total,Total,Refused,0,2018
RENTEVICT,Total,Total,Yes,0.03,2018
