code,category,response,value,group,year
Q1,Total,Yes,0.81,Total,2018
Q1,Total,No,0.18,Total,2018
Q1,Total,Don't know,0.01,Total,2018
Q1,Total,Refused,0,Total,2018
Q2,Total,Much better,0.08,Total,2018
Q2,Total,Somewhat better,0.21,Total,2018
Q2,Total,About the same,0.49,Total,2018
Q2,Total,Somewhat worse,0.15,Total,2018
Q2,Total,Much worse,0.06,Total,2018
Q2,Total,Don't know,0.02,Total,2018
Q2,Total,Refused,0,Total,2018
Q4A,Total,Excellent,0.11,Total,2018
Q4A,Total,Good,0.34,Total,2018
Q4A,Total,Fair,0.28,Total,2018
Q4A,Total,Poor,0.15,Total,2018
Q4A,Total,Don't know enough about it in order to say,0.11,Total,2018
Q4A,Total,Refused,0,Total,2018
Q4D,Total,Excellent,0.31,Total,2018
Q4D,Total,Good,0.44,Total,2018
Q4D,Total,Fair,0.16,Total,2018
Q4D,Total,Poor,0.05,Total,2018
Q4D,Total,Don't know enough about it in order to say,0.04,Total,2018
Q4D,Total,Refused,0,Total,2018
Q4E,Total,Excellent,0.09,Total,2018
Q4E,Total,Good,0.35,Total,2018
Q4E,Total,Fair,0.3,Total,2018
Q4E,Total,Poor,0.14,Total,2018
Q4E,Total,Don't know enough about it in order to say,0.12,Total,2018
Q4E,Total,Refused,0,Total,2018
Q4F,Total,Excellent,0.33,Total,2018
Q4F,Total,Good,0.38,Total,2018
Q4F,Total,Fair,0.16,Total,2018
Q4F,Total,Poor,0.08,Total,2018
Q4F,Total,Don't know enough about it in order to say,0.05,Total,2018
Q4F,Total,Refused,0,Total,2018
Q4G,Total,Excellent,0.26,Total,2018
Q4G,Total,Good,0.46,Total,2018
Q4G,Total,Fair,0.19,Total,2018
Q4G,Total,Poor,0.06,Total,2018
Q4G,Total,Don't know enough about it in order to say,0.04,Total,2018
Q4G,Total,Refused,0,Total,2018
Q4H,Total,Excellent,0.28,Total,2018
Q4H,Total,Good,0.44,Total,2018
Q4H,Total,Fair,0.2,Total,2018
Q4H,Total,Poor,0.06,Total,2018
Q4H,Total,Don't know enough about it in order to say,0.03,Total,2018
Q4H,Total,Refused,0,Total,2018
Q5,Total,Yes,0.41,Total,2018
Q5,Total,No,0.59,Total,2018
Q5,Total,Don't know,0,Total,2018
Q5,Total,Refused,0,Total,2018
Q6,Total,Great influence,0.07,Total,2018
Q6,Total,Moderate influence,0.3,Total,2018
Q6,Total,A little influence,0.33,Total,2018
Q6,Total,No influence at all,0.28,Total,2018
Q6,Total,Don't know,0.03,Total,2018
Q6,Total,Refused,0,Total,2018
Q8,Total,Very often,0.11,Total,2018
Q8,Total,Fairly often,0.19,Total,2018
Q8,Total,Sometimes,0.34,Total,2018
Q8,Total,Almost never,0.2,Total,2018
Q8,Total,Never at all,0.17,Total,2018
Q8,Total,Don't know,0,Total,2018
Q8,Total,Refused,0,Total,2018
Q9,Total,Very often,0.82,Total,2018
Q9,Total,Fairly often,0.06,Total,2018
Q9,Total,Sometimes,0.05,Total,2018
Q9,Total,Almost never,0.02,Total,2018
Q9,Total,Never at all,0.04,Total,2018
Q9,Total,Don't know,0,Total,2018
Q9,Total,Refused,0,Total,2018
Q57,Total,"Single, never married",0.3,Total,2018
Q57,Total,Married or civil union,0.48,Total,2018
Q57,Total,Living with partner,0.05,Total,2018
Q57,Total,Separated,0.01,Total,2018
Q57,Total,Divorced,0.08,Total,2018
Q57,Total,Widowed,0.07,Total,2018
Q57,Total,Refused,0.01,Total,2018
Q60,Total,One,0.24,Total,2018
Q60,Total,Two,0.5,Total,2018
Q60,Total,Three,0.16,Total,2018
Q60,Total,Four or more,0.1,Total,2018
Q60,Total,Refused,0.01,Total,2018
Q58,Total,Refused,0.01,Total,2018
Q58,Total,No,0.65,Total,2018
Q58,Total,Yes,0.34,Total,2018
CHILDCARE,Total,Very easy,0.14,Total,2018
CHILDCARE,Total,Somewhat easy,0.27,Total,2018
CHILDCARE,Total,Somewhat hard,0.31,Total,2018
CHILDCARE,Total,Very hard,0.24,Total,2018
CHILDCARE,Total,Don't know,0.04,Total,2018
CHILDCARE,Total,Refused,0,Total,2018
Q11,Total,I own my home,0.63,Total,2018
Q11,Total,I rent my home,0.25,Total,2018
Q11,Total,I live with family or friends who own,0.08,Total,2018
Q11,Total,I live with family or friends who rent,0.02,Total,2018
Q11,Total,Other,0.01,Total,2018
Q11,Total,Refused,0.01,Total,2018
Q12,Total,Yes,0.21,Total,2018
Q12,Total,No,0.78,Total,2018
Q12,Total,Don't know,0.01,Total,2018
Q12,Total,Refused,0,Total,2018
MOVEYEAR,Total,Within the last 3 years,0.18,Total,2018
MOVEYEAR,Total,4 to 10 years ago,0.28,Total,2018
MOVEYEAR,Total,11 to 19 years ago,0.19,Total,2018
MOVEYEAR,Total,20 or more years ago,0.31,Total,2018
MOVEYEAR,Total,Refused,0.03,Total,2018
RECENTMOVE,Total,"Was living in the same building, facility, or housing development that I live in now",0.03,Total,2018
RECENTMOVE,Total,"Was living somewhere in the same neighborhood, town, or city as my current home",0.4,Total,2018
RECENTMOVE,Total,In a different town or city within <state2>,0.4,Total,2018
RECENTMOVE,Total,In another U.S. state (please specify),0.13,Total,2018
RECENTMOVE,Total,"In Puerto Rico, US Virgin Islands, or another U.S. territory",0,Total,2018
RECENTMOVE,Total,Somewhere outside of the United States,0.02,Total,2018
RECENTMOVE,Total,Don't know,0,Total,2018
RECENTMOVE,Total,Refused,0,Total,2018
OWNRECEMOV,Total,"Good financial decision (e.g., building equity, long term investment potential)",0.41,Total,2018
OWNRECEMOV,Total,Better quality or larger home,0.47,Total,2018
OWNRECEMOV,Total,Closer to work or school,0.24,Total,2018
OWNRECEMOV,Total,Better quality neighborhood or schools,0.3,Total,2018
OWNRECEMOV,Total,Relocated to a new city,0.17,Total,2018
OWNRECEMOV,Total,"Change in family status (e.g. marriage, divorce, children)",0.18,Total,2018
OWNRECEMOV,Total,Other,0.09,Total,2018
OWNRECEMOV,Total,Don't know,0,Total,2018
OWNRECEMOV,Total,Refused,0,Total,2018
RENTPREVST,Total,No,0.85,Total,2018
RENTPREVST,Total,Yes and I still own that home,0.05,Total,2018
RENTPREVST,Total,Yes and I sold that home,0.07,Total,2018
RENTPREVST,Total,Other,0.03,Total,2018
RENTPREVST,Total,Don't know,0,Total,2018
RENTPREVST,Total,Refused,0,Total,2018
RENTEVICT,Total,Yes,0.07,Total,2018
RENTEVICT,Total,No,0.92,Total,2018
RENTEVICT,Total,Don't know,0.01,Total,2018
RENTEVICT,Total,Refused,0,Total,2018
RENTEVICTRA,Total,Yes,0.02,Total,2018
RENTEVICTRA,Total,No,0.98,Total,2018
RENTEVICTRA,Total,Don't know,0,Total,2018
RENTEVICTRA,Total,Refused,0,Total,2018
RENTEVICTRAB,Total,Yes,0.06,Total,2018
RENTEVICTRAB,Total,No,0.94,Total,2018
RENTEVICTRAB,Total,Don't know,0,Total,2018
RENTEVICTRAB,Total,Refused,0,Total,2018
RENTEVICTRC,Total,Yes,0.02,Total,2018
RENTEVICTRC,Total,No,0.97,Total,2018
RENTEVICTRC,Total,Don't know,0,Total,2018
RENTEVICTRC,Total,Refused,0,Total,2018
RENTFORECLA,Total,Yes,0.14,Total,2018
RENTFORECLA,Total,No,0.85,Total,2018
RENTFORECLA,Total,Don't know,0,Total,2018
RENTFORECLA,Total,Refused,0,Total,2018
RENTFORECLB,Total,Yes,0.12,Total,2018
RENTFORECLB,Total,No,0.88,Total,2018
RENTFORECLB,Total,Don't know,0,Total,2018
RENTFORECLB,Total,Refused,0,Total,2018
RENTFORECLA,Total,Yes,0.13,Total,2018
RENTFORECLA,Total,No,0.87,Total,2018
RENTFORECLA,Total,Don't know,0,Total,2018
RENTFORECLA,Total,Refused,0,Total,2018
RENTMOVEOT,Total,Rent increased at previous home or apartment,0.11,Total,2018
RENTMOVEOT,Total,Landlord would not fix things at previous home or apartment,0.08,Total,2018
RENTMOVEOT,Total,To save money,0.22,Total,2018
RENTMOVEOT,Total,Better quality or larger home,0.33,Total,2018
RENTMOVEOT,Total,Closer to work or school,0.22,Total,2018
RENTMOVEOT,Total,Better quality neighborhood or schools,0.21,Total,2018
RENTMOVEOT,Total,Relocated to a new city,0.26,Total,2018
RENTMOVEOT,Total,"Change in family status (i.e. marriage, divorce, children)",0.19,Total,2018
RENTMOVEOT,Total,Other,0.17,Total,2018
RENTMOVEOT,Total,Don't know,0,Total,2018
RENTMOVEOT,Total,Refused,0.01,Total,2018
Q13R1,Total,Yes,0.43,Total,2018
Q13R1,Total,No,0.57,Total,2018
Q13R1,Total,Don't know,0,Total,2018
Q13R1,Total,Refused,0,Total,2018
Q13R2,Total,Yes,0.74,Total,2018
Q13R2,Total,No,0.24,Total,2018
Q13R2,Total,Don't know,0.01,Total,2018
Q13R2,Total,Refused,0.01,Total,2018
Q13R3,Total,None,0.43,Total,2018
Q13R3,Total,A little difficulty,0.21,Total,2018
Q13R3,Total,Moderate difficulty,0.19,Total,2018
Q13R3,Total,Substantial difficulty,0.17,Total,2018
Q13R3,Total,Don't know,0,Total,2018
Q13R3,Total,Refused,0,Total,2018
Q14R1,Total,Definitely no,0.3,Total,2018
Q14R1,Total,Probably no,0.24,Total,2018
Q14R1,Total,Probably yes,0.27,Total,2018
Q14R1,Total,Definitely yes,0.18,Total,2018
Q14R1,Total,Don't know,0.01,Total,2018
Q14R1,Total,Refused,0,Total,2018
Q14R2,Total,Very likely,0.44,Total,2018
Q14R2,Total,Somewhat likely,0.28,Total,2018
Q14R2,Total,Not very likely,0.14,Total,2018
Q14R2,Total,Not at all likely,0.13,Total,2018
Q14R2,Total,Don't know,0.01,Total,2018
Q14R2,Total,Refused,0,Total,2018
Q15,Total,Yes,0.78,Total,2018
Q15,Total,No,0.2,Total,2018
Q15,Total,Don't know,0.01,Total,2018
Q15,Total,Refused,0,Total,2018
Q17A,Total,Strongly agree,0.28,Total,2018
Q17A,Total,Somewhat agree,0.25,Total,2018
Q17A,Total,Somewhat disagree,0.17,Total,2018
Q17A,Total,Strongly disagree,0.29,Total,2018
Q17A,Total,Don't know,0.01,Total,2018
Q17A,Total,Refused,0,Total,2018
Q17B,Total,Strongly agree,0.35,Total,2018
Q17B,Total,Somewhat agree,0.25,Total,2018
Q17B,Total,Somewhat disagree,0.12,Total,2018
Q17B,Total,Strongly disagree,0.27,Total,2018
Q17B,Total,Don't know,0.01,Total,2018
Q17B,Total,Refused,0,Total,2018
Q17C,Total,Strongly agree,0.31,Total,2018
Q17C,Total,Somewhat agree,0.31,Total,2018
Q17C,Total,Somewhat disagree,0.16,Total,2018
Q17C,Total,Strongly disagree,0.21,Total,2018
Q17C,Total,Don't know,0.02,Total,2018
Q17C,Total,Refused,0,Total,2018
Q17E,Total,Strongly agree,0.36,Total,2018
Q17E,Total,Somewhat agree,0.33,Total,2018
Q17E,Total,Somewhat disagree,0.13,Total,2018
Q17E,Total,Strongly disagree,0.17,Total,2018
Q17E,Total,Don't know,0.01,Total,2018
Q17E,Total,Refused,0,Total,2018
Q17F,Total,Strongly agree,0.14,Total,2018
Q17F,Total,Somewhat agree,0.15,Total,2018
Q17F,Total,Somewhat disagree,0.2,Total,2018
Q17F,Total,Strongly disagree,0.49,Total,2018
Q17F,Total,Don't know,0.01,Total,2018
Q17F,Total,Refused,0,Total,2018
Q17G,Total,Strongly agree,0.47,Total,2018
Q17G,Total,Somewhat agree,0.36,Total,2018
Q17G,Total,Somewhat disagree,0.08,Total,2018
Q17G,Total,Strongly disagree,0.06,Total,2018
Q17G,Total,Don't know,0.02,Total,2018
Q17G,Total,Refused,0,Total,2018
Q17H,Total,Strongly agree,0.32,Total,2018
Q17H,Total,Somewhat agree,0.41,Total,2018
Q17H,Total,Somewhat disagree,0.13,Total,2018
Q17H,Total,Strongly disagree,0.08,Total,2018
Q17H,Total,Don't know,0.07,Total,2018
Q17H,Total,Refused,0,Total,2018
Q17I,Total,Strongly agree,0.32,Total,2018
Q17I,Total,Somewhat agree,0.42,Total,2018
Q17I,Total,Somewhat disagree,0.14,Total,2018
Q17I,Total,Strongly disagree,0.07,Total,2018
Q17I,Total,Don't know,0.04,Total,2018
Q17I,Total,Refused,0,Total,2018
Q18,Total,Very likely,0.51,Total,2018
Q18,Total,Somewhat likely,0.29,Total,2018
Q18,Total,Not very likely,0.09,Total,2018
Q18,Total,Not at all likely,0.05,Total,2018
Q18,Total,Don't know,0.05,Total,2018
Q18,Total,Refused,0,Total,2018
LIFECA,Total,Almost certain,0.4,Total,2018
LIFECA,Total,Very likely,0.46,Total,2018
LIFECA,Total,A toss up,0.09,Total,2018
LIFECA,Total,Not very likely,0.02,Total,2018
LIFECA,Total,Not at all likely,0.01,Total,2018
LIFECA,Total,Don't know,0.02,Total,2018
LIFECA,Total,Refused,0,Total,2018
LIFECB,Total,Almost certain,0.16,Total,2018
LIFECB,Total,Very likely,0.41,Total,2018
LIFECB,Total,A toss up,0.25,Total,2018
LIFECB,Total,Not very likely,0.11,Total,2018
LIFECB,Total,Not at all likely,0.03,Total,2018
LIFECB,Total,Don't know,0.04,Total,2018
LIFECB,Total,Refused,0,Total,2018
LIFECC,Total,Almost certain,0.02,Total,2018
LIFECC,Total,Very likely,0.06,Total,2018
LIFECC,Total,A toss up,0.12,Total,2018
LIFECC,Total,Not very likely,0.37,Total,2018
LIFECC,Total,Not at all likely,0.38,Total,2018
LIFECC,Total,Don't know,0.03,Total,2018
LIFECC,Total,Refused,0,Total,2018
LIFECD,Total,Almost certain,0.07,Total,2018
LIFECD,Total,Very likely,0.2,Total,2018
LIFECD,Total,A toss up,0.39,Total,2018
LIFECD,Total,Not very likely,0.2,Total,2018
LIFECD,Total,Not at all likely,0.08,Total,2018
LIFECD,Total,Don't know,0.06,Total,2018
LIFECD,Total,Refused,0,Total,2018
LIFECF,Total,Almost certain,0.03,Total,2018
LIFECF,Total,Very likely,0.08,Total,2018
LIFECF,Total,A toss up,0.22,Total,2018
LIFECF,Total,Not very likely,0.45,Total,2018
LIFECF,Total,Not at all likely,0.18,Total,2018
LIFECF,Total,Don't know,0.04,Total,2018
LIFECF,Total,Refused,0,Total,2018
Q19,Total,Excellent,0.23,Total,2018
Q19,Total,Very good,0.36,Total,2018
Q19,Total,Good,0.26,Total,2018
Q19,Total,Fair,0.11,Total,2018
Q19,Total,Poor,0.03,Total,2018
Q19,Total,Don't know,0,Total,2018
Q19,Total,Refused,0,Total,2018
Q20,Total,Not at all satisfied,0.03,Total,2018
Q20,Total,Only a little bit satisfied,0.08,Total,2018
Q20,Total,Somewhat satisfied,0.22,Total,2018
Q20,Total,Mostly satisfied,0.44,Total,2018
Q20,Total,Completely satisfied,0.23,Total,2018
Q20,Total,Don't know,0,Total,2018
Q20,Total,Refused,0,Total,2018
Q21,Total,Not at all,0.04,Total,2018
Q21,Total,Only a little bit,0.08,Total,2018
