code,category,response,value,group,year
Q1,Connecticut,Yes,0.81,Connecticut,2018
Q1,Connecticut,No,0.18,Connecticut,2018
Q1,Connecticut,Don't know,0.01,Connecticut,2018
Q1,Connecticut,Refused,0,Connecticut,2018
Q2,Connecticut,Much better,0.08,Connecticut,2018
Q2,Connecticut,Somewhat better,0.21,Connecticut,2018
Q2,Connecticut,About the same,0.49,Connecticut,2018
Q2,Connecticut,Somewhat worse,0.15,Connecticut,2018
Q2,Connecticut,Much worse,0.06,Connecticut,2018
Q2,Connecticut,Don't know,0.02,Connecticut,2018
Q2,Connecticut,Refused,0,Connecticut,2018
Q4A,Connecticut,Excellent,0.11,Connecticut,2018
Q4A,Connecticut,Good,0.34,Connecticut,2018
Q4A,Connecticut,Fair,0.28,Connecticut,2018
Q4A,Connecticut,Poor,0.15,Connecticut,2018
Q4A,Connecticut,Don't know enough about it in order to say,0.11,Connecticut,2018
Q4A,Connecticut,Refused,0,Connecticut,2018
Q4D,Connecticut,Excellent,0.31,Connecticut,2018
Q4D,Connecticut,Good,0.44,Connecticut,2018
Q4D,Connecticut,Fair,0.16,Connecticut,2018
Q4D,Connecticut,Poor,0.05,Connecticut,2018
Q4D,Connecticut,Don't know enough about it in order to say,0.04,Connecticut,2018
Q4D,Connecticut,Refused,0,Connecticut,2018
Q4E,Connecticut,Excellent,0.09,Connecticut,2018
Q4E,Connecticut,Good,0.35,Connecticut,2018
Q4E,Connecticut,Fair,0.3,Connecticut,2018
Q4E,Connecticut,Poor,0.14,Connecticut,2018
Q4E,Connecticut,Don't know enough about it in order to say,0.12,Connecticut,2018
Q4E,Connecticut,Refused,0,Connecticut,2018
Q4F,Connecticut,Excellent,0.33,Connecticut,2018
Q4F,Connecticut,Good,0.38,Connecticut,2018
Q4F,Connecticut,Fair,0.16,Connecticut,2018
Q4F,Connecticut,Poor,0.08,Connecticut,2018
Q4F,Connecticut,Don't know enough about it in order to say,0.05,Connecticut,2018
Q4F,Connecticut,Refused,0,Connecticut,2018
Q4G,Connecticut,Excellent,0.26,Connecticut,2018
Q4G,Connecticut,Good,0.46,Connecticut,2018
Q4G,Connecticut,Fair,0.19,Connecticut,2018
Q4G,Connecticut,Poor,0.06,Connecticut,2018
Q4G,Connecticut,Don't know enough about it in order to say,0.04,Connecticut,2018
Q4G,Connecticut,Refused,0,Connecticut,2018
Q4H,Connecticut,Excellent,0.28,Connecticut,2018
Q4H,Connecticut,Good,0.44,Connecticut,2018
Q4H,Connecticut,Fair,0.2,Connecticut,2018
Q4H,Connecticut,Poor,0.06,Connecticut,2018
Q4H,Connecticut,Don't know enough about it in order to say,0.03,Connecticut,2018
Q4H,Connecticut,Refused,0,Connecticut,2018
Q6,Connecticut,Great influence,0.07,Connecticut,2018
Q6,Connecticut,Moderate influence,0.3,Connecticut,2018
Q6,Connecticut,A little influence,0.33,Connecticut,2018
Q6,Connecticut,No influence at all,0.28,Connecticut,2018
Q6,Connecticut,Don't know,0.03,Connecticut,2018
Q6,Connecticut,Refused,0,Connecticut,2018
Q9,Connecticut,Very often,0.82,Connecticut,2018
Q9,Connecticut,Fairly often,0.06,Connecticut,2018
Q9,Connecticut,Sometimes,0.05,Connecticut,2018
Q9,Connecticut,Almost never,0.02,Connecticut,2018
Q9,Connecticut,Never at all,0.04,Connecticut,2018
Q9,Connecticut,Don't know,0,Connecticut,2018
Q9,Connecticut,Refused,0,Connecticut,2018
Q57,Connecticut,"Single, never married",0.3,Connecticut,2018
Q57,Connecticut,Married or civil union,0.48,Connecticut,2018
Q57,Connecticut,Living with partner,0.05,Connecticut,2018
Q57,Connecticut,Separated,0.01,Connecticut,2018
Q57,Connecticut,Divorced,0.08,Connecticut,2018
Q57,Connecticut,Widowed,0.07,Connecticut,2018
Q57,Connecticut,Refused,0.01,Connecticut,2018
Q60,Connecticut,One,0.24,Connecticut,2018
Q60,Connecticut,Two,0.5,Connecticut,2018
Q60,Connecticut,Three,0.16,Connecticut,2018
Q60,Connecticut,Four or more,0.1,Connecticut,2018
Q60,Connecticut,Refused,0.01,Connecticut,2018
Q11,Connecticut,I own my home,0.63,Connecticut,2018
Q11,Connecticut,I rent my home,0.25,Connecticut,2018
Q11,Connecticut,I live with family or friends who own,0.08,Connecticut,2018
Q11,Connecticut,I live with family or friends who rent,0.02,Connecticut,2018
Q11,Connecticut,Vol: I live in a Retirement Community/Senior Care,0,Connecticut,2018
Q11,Connecticut,Other,0.01,Connecticut,2018
Q11,Connecticut,Refused,0.01,Connecticut,2018
MOVEYEAR,Connecticut,Within the last 3 years,0.18,Connecticut,2018
MOVEYEAR,Connecticut,4 to 10 years ago,0.28,Connecticut,2018
MOVEYEAR,Connecticut,11 to 19 years ago,0.19,Connecticut,2018
MOVEYEAR,Connecticut,20 or more years ago,0.31,Connecticut,2018
MOVEYEAR,Connecticut,Refused,0.03,Connecticut,2018
Q17A,Connecticut,Strongly agree,0.28,Connecticut,2018
Q17A,Connecticut,Somewhat agree,0.25,Connecticut,2018
Q17A,Connecticut,Somewhat disagree,0.17,Connecticut,2018
Q17A,Connecticut,Strongly disagree,0.29,Connecticut,2018
Q17A,Connecticut,Don't know,0.01,Connecticut,2018
Q17A,Connecticut,Refused,0,Connecticut,2018
Q17B,Connecticut,Strongly agree,0.35,Connecticut,2018
Q17B,Connecticut,Somewhat agree,0.25,Connecticut,2018
Q17B,Connecticut,Somewhat disagree,0.12,Connecticut,2018
Q17B,Connecticut,Strongly disagree,0.27,Connecticut,2018
Q17B,Connecticut,Don't know,0.01,Connecticut,2018
Q17B,Connecticut,Refused,0,Connecticut,2018
Q17C,Connecticut,Strongly agree,0.31,Connecticut,2018
Q17C,Connecticut,Somewhat agree,0.31,Connecticut,2018
Q17C,Connecticut,Somewhat disagree,0.16,Connecticut,2018
Q17C,Connecticut,Strongly disagree,0.21,Connecticut,2018
Q17C,Connecticut,Don't know,0.02,Connecticut,2018
Q17C,Connecticut,Refused,0,Connecticut,2018
Q17E,Connecticut,Strongly agree,0.36,Connecticut,2018
Q17E,Connecticut,Somewhat agree,0.33,Connecticut,2018
Q17E,Connecticut,Somewhat disagree,0.13,Connecticut,2018
Q17E,Connecticut,Strongly disagree,0.17,Connecticut,2018
Q17E,Connecticut,Don't know,0.01,Connecticut,2018
Q17E,Connecticut,Refused,0,Connecticut,2018
Q17F,Connecticut,Strongly agree,0.14,Connecticut,2018
Q17F,Connecticut,Somewhat agree,0.15,Connecticut,2018
Q17F,Connecticut,Somewhat disagree,0.2,Connecticut,2018
Q17F,Connecticut,Strongly disagree,0.49,Connecticut,2018
Q17F,Connecticut,Don't know,0.01,Connecticut,2018
Q17F,Connecticut,Refused,0,Connecticut,2018
Q17G,Connecticut,Strongly agree,0.47,Connecticut,2018
Q17G,Connecticut,Somewhat agree,0.36,Connecticut,2018
Q17G,Connecticut,Somewhat disagree,0.08,Connecticut,2018
Q17G,Connecticut,Strongly disagree,0.06,Connecticut,2018
Q17G,Connecticut,Don't know,0.02,Connecticut,2018
Q17G,Connecticut,Refused,0,Connecticut,2018
Q17H,Connecticut,Strongly agree,0.32,Connecticut,2018
Q17H,Connecticut,Somewhat agree,0.41,Connecticut,2018
Q17H,Connecticut,Somewhat disagree,0.13,Connecticut,2018
Q17H,Connecticut,Strongly disagree,0.08,Connecticut,2018
Q17H,Connecticut,Don't know,0.07,Connecticut,2018
Q17H,Connecticut,Refused,0,Connecticut,2018
Q17I,Connecticut,Strongly agree,0.32,Connecticut,2018
Q17I,Connecticut,Somewhat agree,0.42,Connecticut,2018
Q17I,Connecticut,Somewhat disagree,0.14,Connecticut,2018
Q17I,Connecticut,Strongly disagree,0.07,Connecticut,2018
Q17I,Connecticut,Don't know,0.04,Connecticut,2018
Q17I,Connecticut,Refused,0,Connecticut,2018
Q19,Connecticut,Excellent,0.23,Connecticut,2018
Q19,Connecticut,Very good,0.36,Connecticut,2018
Q19,Connecticut,Good,0.26,Connecticut,2018
Q19,Connecticut,Fair,0.11,Connecticut,2018
Q19,Connecticut,Poor,0.03,Connecticut,2018
Q19,Connecticut,Don't know,0,Connecticut,2018
Q19,Connecticut,Refused,0,Connecticut,2018
Q20,Connecticut,Not at all satisfied,0.03,Connecticut,2018
Q20,Connecticut,Only a little bit satisfied,0.08,Connecticut,2018
Q20,Connecticut,Somewhat satisfied,0.22,Connecticut,2018
Q20,Connecticut,Mostly satisfied,0.44,Connecticut,2018
Q20,Connecticut,Completely satisfied,0.23,Connecticut,2018
Q20,Connecticut,Don't know,0,Connecticut,2018
Q20,Connecticut,Refused,0,Connecticut,2018
Q21,Connecticut,Not at all,0.04,Connecticut,2018
Q21,Connecticut,Only a little bit,0.08,Connecticut,2018
Q21,Connecticut,Somewhat,0.19,Connecticut,2018
Q21,Connecticut,Mostly,0.39,Connecticut,2018
Q21,Connecticut,Completely,0.3,Connecticut,2018
Q21,Connecticut,Don't know,0.01,Connecticut,2018
Q21,Connecticut,Refused,0,Connecticut,2018
Q22,Connecticut,Not at all,0.44,Connecticut,2018
Q22,Connecticut,Only a little bit,0.22,Connecticut,2018
Q22,Connecticut,Somewhat,0.2,Connecticut,2018
Q22,Connecticut,Mostly,0.07,Connecticut,2018
Q22,Connecticut,Completely,0.05,Connecticut,2018
Q22,Connecticut,Don't know,0.01,Connecticut,2018
Q22,Connecticut,Refused,0,Connecticut,2018
Q23,Connecticut,Not at all,0.05,Connecticut,2018
Q23,Connecticut,Only a little bit,0.19,Connecticut,2018
Q23,Connecticut,Somewhat,0.3,Connecticut,2018
Q23,Connecticut,Mostly,0.28,Connecticut,2018
Q23,Connecticut,Completely,0.16,Connecticut,2018
Q23,Connecticut,Don't know,0,Connecticut,2018
Q23,Connecticut,Refused,0,Connecticut,2018
Q23PL,Connecticut,Strongly agree,0.36,Connecticut,2018
Q23PL,Connecticut,Agree,0.31,Connecticut,2018
