code,category,group,response,value,year
Q1,Connecticut,Connecticut,Yes,0.81,2018
Q1,Connecticut,Connecticut,No,0.18,2018
Q1,Connecticut,Connecticut,Don't know,0.01,2018
Q1,Connecticut,Connecticut,Refused,0,2018
Q2,Connecticut,Connecticut,Much better,0.08,2018
Q2,Connecticut,Connecticut,Somewhat better,0.21,2018
Q2,Connecticut,Connecticut,About the same,0.49,2018
Q2,Connecticut,Connecticut,Somewhat worse,0.15,2018
Q2,Connecticut,Connecticut,Much worse,0.06,2018
Q2,Connecticut,Connecticut,Don't know,0.02,2018
Q2,Connecticut,Connecticut,Refused,0,2018
Q4A,Connecticut,Connecticut,Excellent,0.11,2018
Q4A,Connecticut,Connecticut,Good,0.34,2018
Q4A,Connecticut,Connecticut,Fair,0.28,2018
Q4A,Connecticut,Connecticut,Poor,0.15,2018
Q4A,Connecticut,Connecticut,Don't know enough about it in order to say,0.11,2018
Q4A,Connecticut,Connecticut,Refused,0,2018
Q4D,Connecticut,Connecticut,Excellent,0.31,2018
Q4D,Connecticut,Connecticut,Good,0.44,2018
Q4D,Connecticut,Connecticut,Fair,0.16,2018
Q4D,Connecticut,Connecticut,Poor,0.05,2018
Q4D,Connecticut,Connecticut,Don't know enough about it in order to say,0.04,2018
Q4D,Connecticut,Connecticut,Refused,0,2018
Q4E,Connecticut,Connecticut,Excellent,0.09,2018
Q4E,Connecticut,Connecticut,Good,0.35,2018
Q4E,Connecticut,Connecticut,Fair,0.3,2018
Q4E,Connecticut,Connecticut,Poor,0.14,2018
Q4E,Connecticut,Connecticut,Don't know enough about it in order to say,0.12,2018
Q4E,Connecticut,Connecticut,Refused,0,2018
Q4F,Connecticut,Connecticut,Excellent,0.33,2018
Q4F,Connecticut,Connecticut,Good,0.38,2018
Q4F,Connecticut,Connecticut,Fair,0.16,2018
Q4F,Connecticut,Connecticut,Poor,0.08,2018
Q4F,Connecticut,Connecticut,Don't know enough about it in order to say,0.05,2018
Q4F,Connecticut,Connecticut,Refused,0,2018
Q4G,Connecticut,Connecticut,Excellent,0.26,2018
Q4G,Connecticut,Connecticut,Good,0.46,2018
Q4G,Connecticut,Connecticut,Fair,0.19,2018
Q4G,Connecticut,Connecticut,Poor,0.06,2018
Q4G,Connecticut,Connecticut,Don't know enough about it in order to say,0.04,2018
Q4G,Connecticut,Connecticut,Refused,0,2018
Q4H,Connecticut,Connecticut,Excellent,0.28,2018
Q4H,Connecticut,Connecticut,Good,0.44,2018
Q4H,Connecticut,Connecticut,Fair,0.2,2018
Q4H,Connecticut,Connecticut,Poor,0.06,2018
Q4H,Connecticut,Connecticut,Don't know enough about it in order to say,0.03,2018
Q4H,Connecticut,Connecticut,Refused,0,2018
Q5,Connecticut,Connecticut,Yes,0.41,2018
Q5,Connecticut,Connecticut,No,0.59,2018
Q5,Connecticut,Connecticut,Don't know,0,2018
Q5,Connecticut,Connecticut,Refused,0,2018
Q6,Connecticut,Connecticut,Great influence,0.07,2018
Q6,Connecticut,Connecticut,Moderate influence,0.3,2018
Q6,Connecticut,Connecticut,A little influence,0.33,2018
Q6,Connecticut,Connecticut,No influence at all,0.28,2018
Q6,Connecticut,Connecticut,Don't know,0.03,2018
Q6,Connecticut,Connecticut,Refused,0,2018
Q8,Connecticut,Connecticut,Very often,0.11,2018
Q8,Connecticut,Connecticut,Fairly often,0.19,2018
Q8,Connecticut,Connecticut,Sometimes,0.34,2018
Q8,Connecticut,Connecticut,Almost never,0.2,2018
Q8,Connecticut,Connecticut,Never at all,0.17,2018
Q8,Connecticut,Connecticut,Don't know,0,2018
Q8,Connecticut,Connecticut,Refused,0,2018
Q9,Connecticut,Connecticut,Very often,0.82,2018
Q9,Connecticut,Connecticut,Fairly often,0.06,2018
Q9,Connecticut,Connecticut,Sometimes,0.05,2018
