code,question
Q1,are you satisfied with the city or area where you live
Q2,as a place to live is the city or area where you live getting much better getting somewhat better re
Q4A,how responsive local government is to the needs of residents
Q4D,the job done by the police to keep residents safe
Q4E,the ability of residents to obtain suitable employment
Q4F,as a place to raise children
Q4G,the condition of public parks and other public recreational facilities
Q4H,the availability of affordable highquality fruits and vegetables
Q6,how would you describe your ability to influence localgovernment decision making would you say that 
Q9,do you have access to a car when you need it would you say you have access
Q57,now tell us more about yourself what is your marital status
Q60,what is the number of adults 18 and older including yourself living in the household
Q11,do you own your home rent or something else
MOVEYEAR,in what year did you move into your current home
Q17A,many stores banks markets or places to go are within easy walking distance of my home
Q17B,there are safe sidewalks and crosswalks on most of the streets in my neighborhood
Q17C,there are places to bicycle in or near my neighborhood that are safe from traffic such as on the str
Q17E,my neighborhood has several free or low cost recreation facilities such as parks playgrounds public 
Q17F,i do not feel safe to go on walks in my neighborhood at night
Q17G,people in this neighborhood can be trusted
Q17H,children and youth in my town generally have the positive role models they need around here
Q17I,people in this neighborhood are involved in trying to improve the neighborhood
LIFECA,graduate from high school
LIFECB,get a job with opportunities for advancement
LIFECC,be in a gang
LIFECD,abuse drugs or alcohol
LIFECF,get arrested for a felony
Q19,the next set of questions are about your health how would you rate your overall health would you say
Q20,overall how satisfied are you with your life nowadays
Q21,overall how happy did you feel yesterday
Q22,overall how anxious did you feel yesterday
Q23,overall to what extent do you have the time you need to do things that you really enjoy
Q23PL,how strongly do you agree with this statement i lead a purposeful and meaningful life do you strongl
Q23A,high blood pressure or hypertension
Q23C,diabetes
Q23D,heart disease or have you ever had a heart attack
Q23E,asthma
Q23E2,do you still have asthma
BMIR,bmi based on height and weight
Q26,do you have health insurance
Q27,what type of health insurance do you have
Q28,during the past 12 months was there any time when you didnt get the medical care you needed
Q29,and was there any time during the past 12 months when you put off or postponed getting medical care 
Q31,during the past 12 months was there any time you needed prescription medicines but didnt get them be
Q32,do you have one person or place you think of as your personal doctor or health care provider
Q33,is that because you have more than one personal doctor or none at all
Q34,in the past 12 months how many times did you receive care in a hospital emergency room
Q35,when was the last time you were seen by a dentist was it
Q37_1,how often do you get the social and emotional support you need
Q37_2,little interest or pleasure in doing things
Q37_3,feeling down depressed or hopeless
Q38,in an average week how many days per week do you exercise
Q39,have you smoked at least 100 cigarettes in your entire life
Q40,do you currently smoke cigarettes every day some days or not at all
Q42,have you ever tried using vapor or vape pens electronic cigarettes or ecigarettes such as blu vuse e
Q43,if used vapor or vape pens electronic cigarettes or ecigarettes during the past 30 days on how many 
ALCOHOL,considering all types of alcoholic beverages how many times during the past 30 days did you have <5 
POT1,during the past 30 days on how many days did you use marijuana or cannabis
OPIOID2,i have a few questions about prescription painkillers when we ask about prescription painkillers we 
OPIOID4,do you personally know anyone who has ever died from an opioid overdose
Q44,on another topic how well would you say you are managing financially these days would you say you ar
Q46,if you lost all your current sources of household income including your paycheck public assistance o
DEBT,suppose you and others in your household were to sell all of your major possessions including your h
Q47,have you had a paid job in the last 30 days
Q49,during this time has your job been full time or part time
Q56,what is your primary means of transportation to work school or the place where you spend most of you
Q62,have there been times in the past 12 months when you did not have enough money to buy food that you 
Q64,in the last 12 months have you not had enough money to provide adequate shelter or housing for you o
Q64_GAS,in the last 12 months has the electric gas oil or water company threatened to shut off services in y
Q65,in the past 12 months did you stay home when you needed or wanted to go someplace because you had no
Q66,in the last 12 months have you held a checking or savings account
Q68,in the past 12 months have you had anyone deliberately vandalize try to steal or steal any property 
Q69,in the past 12 months have you had an experience in which someone attacked you tried to take somethi
DISCRIM1,at any time in your life have you ever been unfairly fired unfairly denied a promotion or raise or n
DISCRIM2,have you ever been unfairly stopped searched questioned physically threatened or abused by the polic
