group,weight,year
Male,0.48,2015
Female,0.52,2015
Ages 18-34,0.26,2015
Ages 35-49,0.27,2015
Ages 50-64,0.25,2015
Ages 65+,0.17,2015
White,0.78,2015
Black,0.11,2015
Latino,0.11,2015
Asian,0.03,2015
American Indian,0.02,2015
Other,0.06,2015
Less than high school,0.04,2015
High school,0.21,2015
Some college or Associate's,0.29,2015
Bachelor's,0.24,2015
Post graduate,0.2,2015
<$15K,0.09,2015
$15K-$30K,0.11,2015
$30K-$50K,0.13,2015
$50K-$75K,0.14,2015
$75K-$100K,0.11,2015
$100K-$200K,0.17,2015
$200K+,0.07,2015
Yes,0.35,2015
No,0.64,2015
Total,1,2015
